id,ideology,region,ethnic,gender
1,6,2,5,1
2,3,2,5,2
3,5,2,5,2
4,5,1,5,1
5,6,1,5,2
6,1,1,1,1
7,4,1,5,1
8,3,1,5,2
10,2,2,5,2
11,3,1,5,2
15,4,2,5,2
16,7,4,4,1
19,9,3,1,2
24,3,2,5,1
25,7,4,5,2
37,5,3,5,2
40,5,3,1,2
41,6,3,5,1
46,3,4,5,2
47,1,2,5,2
50,6,2,5,2
52,6,3,5,1
53,6,2,5,1
54,1,1,5,2
55,2,1,6,1
56,9,3,5,1
57,5,3,5,1
59,5,3,5,2
62,5,3,5,2
63,5,3,5,2
65,5,4,5,2
66,3,1,5,2
67,5,2,6,2
68,9,1,5,2
69,7,2,5,2
71,3,3,5,2
72,5,3,1,1
73,3,2,5,2
74,2,4,5,1
75,7,4,5,1
76,1,4,5,2
77,4,1,5,2
81,5,2,5,2
82,1,3,5,2
83,5,3,5,2
86,5,3,5,2
87,5,2,5,2
91,5,3,5,2
94,7,3,5,2
95,3,2,5,1
97,6,3,5,1
99,5,2,5,2
100,6,2,5,2
101,5,2,5,2
102,5,4,5,1
105,6,3,5,2
106,5,4,5,2
108,7,2,5,1
109,2,1,5,1
112,5,3,5,2
115,2,3,5,2
117,9,3,5,2
119,8,2,5,2
122,5,2,5,2
127,4,3,5,2
129,6,2,5,1
131,4,1,5,2
134,5,2,5,2
135,6,3,5,1
140,9,1,5,2
141,4,3,5,1
142,6,3,5,2
143,3,4,5,1
147,9,2,5,2
148,6,4,5,1
149,4,1,4,1
150,3,4,5,2
151,5,3,5,2
152,7,1,5,2
154,3,2,5,2
158,5,2,5,2
159,6,2,5,1
160,9,4,5,2
161,9,2,5,1
166,3,2,5,2
168,6,2,5,1
169,5,4,5,2
170,9,3,5,1
173,1,4,5,2
175,4,3,5,1
182,6,4,5,1
183,2,1,5,2
184,6,1,5,1
185,9,2,5,2
186,5,1,5,2
187,2,4,5,1
189,2,3,4,1
191,5,1,5,1
192,6,2,5,2
193,6,1,5,2
194,7,4,5,2
196,4,3,5,2
202,3,3,5,1
205,9,3,6,2
208,2,4,5,1
212,5,4,5,1
213,9,4,5,1
214,5,3,1,2
217,6,1,5,1
218,5,2,5,1
219,7,2,5,2
221,5,3,1,1
224,3,4,5,1
225,4,3,5,1
226,3,2,3,2
227,6,2,5,1
228,9,3,4,2
229,6,2,5,2
232,5,3,4,2
235,6,1,5,2
236,6,2,6,2
238,4,4,5,2
239,4,3,5,2
240,5,2,5,2
242,6,3,5,1
243,2,1,5,2
245,7,2,5,1
246,5,1,5,2
250,6,3,5,1
251,7,3,6,1
255,6,2,5,2
256,6,2,5,2
259,3,2,5,2
262,6,2,5,1
263,6,3,5,2
264,3,3,5,2
267,1,3,5,1
272,1,4,5,1
273,5,4,4,2
274,7,3,5,2
275,6,3,4,2
276,5,3,5,2
277,6,3,5,2
278,9,3,5,1
279,6,3,5,1
280,5,2,5,2
282,6,3,5,1
283,1,4,5,2
284,5,3,5,2
285,9,3,5,2
287,3,3,5,1
290,5,2,5,1
291,7,4,5,2
292,3,3,5,2
293,5,3,5,1
295,5,3,5,2
297,3,4,5,1
300,5,2,5,1
303,6,1,5,1
304,5,2,5,2
305,7,3,5,2
306,6,2,5,2
307,5,2,5,1
308,3,2,5,1
309,5,3,5,2
313,2,1,5,2
317,3,3,5,2
319,7,2,5,2
320,7,1,5,1
321,9,2,6,2
322,2,2,5,1
323,7,1,5,2
324,5,3,4,2
325,6,2,5,2
326,5,2,5,1
328,5,2,5,2
329,5,1,5,2
333,6,2,5,1
335,7,3,5,1
336,3,3,5,2
345,5,1,1,2
347,7,3,4,1
351,4,2,5,1
352,5,2,5,2
354,3,2,5,1
356,6,3,6,1
358,3,4,2,2
364,3,4,5,1
367,3,2,1,2
368,3,1,1,2
370,3,3,5,2
371,5,3,5,2
373,1,3,1,2
374,4,3,5,2
375,2,3,5,2
376,5,3,5,2
377,5,2,5,2
378,4,2,5,2
380,2,4,5,2
382,3,4,5,1
383,5,3,5,2
393,7,3,5,2
394,5,4,5,1
396,3,4,5,2
400,1,2,5,2
402,1,2,5,2
403,5,2,5,2
404,3,2,5,2
407,6,2,5,2
408,4,2,5,2
411,3,2,5,1
413,6,2,5,1
414,4,2,5,2
417,7,2,5,2
418,2,1,5,1
419,5,2,5,1
423,5,4,5,2
426,5,3,1,2
427,4,3,5,2
428,9,3,1,2
429,1,2,5,1
431,6,2,5,1
432,2,1,5,2
433,1,1,5,2
434,7,1,5,1
438,4,1,5,2
439,6,1,5,1
440,4,4,5,1
441,4,4,5,2
443,4,4,5,1
448,4,3,5,2
449,9,3,1,1
453,3,2,5,2
454,6,2,5,1
455,5,2,5,1
456,1,2,5,2
459,5,4,5,1
461,6,4,5,2
463,2,1,5,2
464,7,1,5,1
467,7,3,5,2
468,7,4,5,2
475,6,4,5,1
478,3,1,5,2
479,3,4,5,2
481,6,4,5,1
482,3,4,5,2
483,3,4,5,2
491,2,4,5,1
493,5,3,5,2
494,2,4,5,2
496,3,2,5,2
497,2,2,5,1
498,3,2,1,2
499,3,2,5,2
501,4,2,5,2
503,7,2,5,2
506,9,1,5,1
508,6,4,5,2
514,7,1,5,2
515,6,2,5,1
517,4,4,5,2
520,6,3,5,1
521,6,3,5,1
524,5,4,1,2
525,3,4,2,2
531,6,4,5,2
532,6,4,5,1
533,7,4,5,2
535,2,4,2,2
536,6,4,5,2
537,5,1,5,1
539,9,3,5,2
541,8,3,5,2
543,7,3,5,2
545,7,2,5,2
548,8,3,5,2
550,3,3,1,1
551,5,2,5,2
552,6,2,5,2
554,3,2,5,2
557,6,3,5,1
560,5,2,6,2
564,9,2,6,2
567,6,2,5,2
570,7,3,5,1
572,6,3,5,2
575,9,3,5,2
579,5,3,5,1
581,4,3,5,2
582,2,1,5,2
585,7,2,5,2
586,6,4,5,2
589,5,3,5,2
592,5,2,5,1
594,5,1,5,1
596,6,1,5,2
598,2,2,5,2
601,9,3,1,2
603,1,3,1,1
607,5,3,5,1
609,5,2,5,1
610,6,2,5,2
611,9,2,5,2
613,3,3,5,1
616,5,3,4,2
617,3,3,4,1
618,5,3,4,2
620,2,1,5,2
624,7,2,5,2
626,5,3,5,2
627,3,2,5,2
629,4,4,5,1
630,5,3,5,2
633,4,2,5,2
634,3,3,2,1
635,6,4,5,1
636,3,1,5,2
637,1,2,5,1
638,6,3,5,1
639,3,4,5,2
642,7,3,5,1
643,4,3,5,1
645,6,2,5,2
647,5,3,5,2
648,5,3,5,1
649,3,1,5,2
650,6,3,5,2
651,3,4,6,1
653,3,3,5,1
654,6,3,5,1
659,1,2,5,2
662,5,3,5,2
665,1,3,5,2
666,9,3,5,2
668,5,1,5,1
670,7,1,5,1
671,5,1,6,1
673,4,2,5,2
677,4,3,6,2
680,5,2,5,2
681,4,4,5,1
684,5,3,5,1
687,6,3,5,1
688,3,3,5,2
692,7,3,5,1
693,2,4,5,1
695,7,3,5,1
698,6,3,5,1
701,5,2,5,1
702,3,3,4,2
704,6,3,5,2
709,7,4,5,1
710,5,4,5,2
711,7,4,5,1
713,7,3,5,1
715,5,2,6,1
718,5,2,5,2
719,5,2,5,1
724,3,1,5,1
725,1,1,5,2
726,6,1,5,1
728,5,2,5,1
737,7,1,5,1
739,6,1,5,1
740,1,1,1,2
741,9,1,5,2
744,9,1,4,1
746,5,1,5,2
747,3,1,5,1
748,5,1,5,1
749,3,1,5,2
752,5,2,5,2
753,7,2,5,2
759,5,4,4,1
762,3,2,5,1
763,9,3,1,1
770,7,1,5,2
772,5,3,1,2
775,2,3,5,2
777,3,3,1,2
778,4,2,5,2
780,3,2,5,2
782,9,2,5,2
783,5,2,5,1
784,5,2,4,2
786,3,1,1,1
787,3,2,5,1
791,6,3,5,1
792,7,1,5,1
794,6,3,5,1
795,2,3,5,1
796,7,3,5,1
801,6,3,1,2
802,2,3,5,1
807,7,4,5,1
808,6,3,5,2
810,7,2,5,2
811,5,2,5,2
812,3,4,5,2
813,6,4,4,1
814,5,4,4,2
816,2,3,6,2
817,3,3,5,2
818,9,3,5,1
819,5,3,1,2
820,5,3,5,2
823,9,3,5,1
829,5,1,5,1
830,5,1,5,2
835,5,3,5,2
836,6,3,5,2
837,7,3,5,1
841,5,2,5,2
842,2,2,5,2
843,7,2,5,2
844,3,3,1,2
846,3,3,1,2
849,5,2,5,2
852,5,3,5,1
854,5,3,5,2
856,5,3,5,1
865,5,4,5,1
869,5,3,5,1
871,5,2,5,2
872,3,2,5,2
873,3,2,5,2
876,1,2,5,1
877,3,2,5,2
878,7,2,5,1
880,5,2,5,2
881,5,2,5,2
887,5,2,5,1
888,5,2,5,2
889,7,2,5,2
890,1,4,4,2
892,4,3,1,2
893,5,3,4,2
900,7,1,5,2
902,9,1,5,1
903,5,1,5,1
904,3,1,5,1
905,9,1,5,1
906,1,1,5,1
908,5,1,5,2
909,6,1,5,2
910,3,4,5,1
911,6,4,5,2
913,5,4,5,2
916,7,3,5,1
918,6,3,1,1
919,7,4,5,2
920,3,4,5,1
925,5,2,.,1
927,9,3,5,1
930,7,2,5,2
931,5,2,5,1
932,5,3,1,2
933,5,3,5,2
934,6,3,5,1
935,2,3,5,2
945,3,2,5,2
946,5,2,5,2
948,5,1,5,1
950,1,1,5,1
951,6,1,5,2
952,5,1,6,2
955,5,4,5,2
956,5,1,5,1
957,5,1,5,2
958,5,2,5,2
959,7,3,1,2
960,5,2,5,2
962,6,4,5,1
965,3,4,5,2
966,6,4,5,2
967,3,4,5,2
970,1,3,4,1
975,6,2,5,2
976,3,3,5,2
977,3,2,5,2
979,5,4,5,2
980,3,3,5,1
982,3,3,5,1
984,3,3,5,2
985,6,3,5,2
987,5,3,2,2
988,5,4,4,2
989,3,4,5,1
990,3,3,5,1
993,7,3,5,2
994,6,2,5,1
995,5,2,5,1
997,5,1,5,2
998,5,4,6,1
999,3,3,5,2
1000,5,3,5,2
1005,3,4,5,2
1007,1,4,5,1
1008,5,4,5,2
1011,1,1,5,1
1015,6,1,6,1
1016,5,1,5,2
1017,5,1,6,2
1018,2,1,1,1
1021,6,4,5,1
1025,7,3,5,2
1027,7,3,5,2
1032,3,2,5,2
1035,6,4,5,1
1038,2,4,5,1
1039,5,4,5,2
1043,3,4,5,1
1044,5,4,2,1
1045,2,4,5,1
1046,6,4,4,2
1047,5,4,5,1
